Preis,Datum
62.44,2022-08-30 21:30:03.421775
62.44,2022-08-30 21:30:25.001331
62.44,2022-08-30 22:08:42.790478
62.44,2022-08-30 22:08:46.450087
62.76,2022-08-31 15:41:43.846713
62.76,2022-08-31 16:06:30.019788
62.76,2022-08-31 16:34:02.362452
62.76,2022-08-31 19:04:31.992642
62.76,2022-08-31 19:04:39.353665
62.76,2022-08-31 19:05:17.936653
62.76,2022-08-31 19:05:46.126760
62.76,2022-08-31 19:06:23.511897
62.76,2022-08-31 19:06:42.158531
62.76,2022-08-31 19:21:30.527172
61.73,2022-09-01 16:54:12.737405
61.73,2022-09-01 16:58:26.424838
61.73,2022-09-01 17:07:04.525914
61.73,2022-09-01 17:08:37.472374
61.73,2022-09-01 17:31:48.807873
61.73,2022-09-01 17:33:19.340421
61.73,2022-09-01
